Src,Dst,LR
CD5L,CD5,CD5L_CD5
VEGFD,FLT4&KDR,VEGFD_FLT4&KDR
VEGFD,NRP2,VEGFD_NRP2
VEGFD,ITGB1,VEGFD_ITGB1
VEGFD,ITGA5,VEGFD_ITGA5
VEGFD,ITGA4,VEGFD_ITGA4
VEGFD,ITGA2,VEGFD_ITGA2
VEGFD,FLT1,VEGFD_FLT1
VEGFD,ITGA1,VEGFD_ITGA1
VEGFD,ITGA9,VEGFD_ITGA9
CXCL13,ADRA2A,CXCL13_ADRA2A
CXCL13,CXCR5,CXCL13_CXCR5
CXCL13,CCR10,CXCL13_CCR10
CXCL13,MTNR1A,CXCL13_MTNR1A
CXCL13,CXCR3,CXCL13_CXCR3
CXCL13,GRM7,CXCL13_GRM7
CXCL13,ACKR1,CXCL13_ACKR1
CXCL13,ACKR4,CXCL13_ACKR4
FGF17,FGFR1,FGF17_FGFR1
FGF17,FGFR2,FGF17_FGFR2
FGF17,FGFR4,FGF17_FGFR4
FGF17,FGFR3,FGF17_FGFR3
GDF9,ACVR1B&BMPR2,GDF9_ACVR1B&BMPR2
GDF9,BMPR2&TGFBR1,GDF9_BMPR2&TGFBR1
GDF9,BMPR1B,GDF9_BMPR1B
GDF9,ACVR2A,GDF9_ACVR2A
GDF9,BMPR1A,GDF9_BMPR1A
PSPN,GFRA4&RET,PSPN_GFRA4&RET
PSPN,GFRA2,PSPN_GFRA2
PSPN,SDC3,PSPN_SDC3
PSPN,GFRA1,PSPN_GFRA1
GREM1,KDR,GREM1_KDR
SLIT1,SDC1,SLIT1_SDC1
SLIT1,GPC1,SLIT1_GPC1
SLIT1,ROBO2,SLIT1_ROBO2
SLIT1,FLRT3,SLIT1_FLRT3
SLIT1,ROBO1,SLIT1_ROBO1
SLIT3,ROBO4,SLIT3_ROBO4
SLIT3,ROBO2,SLIT3_ROBO2
SLIT3,ROBO1,SLIT3_ROBO1
PGLYRP1,TREM1,PGLYRP1_TREM1
LEFTY1,ACVR2A,LEFTY1_ACVR2A
LEFTY1,ACVR1B,LEFTY1_ACVR1B
LEFTY1,ACVR2B,LEFTY1_ACVR2B
FGF18,FGFR1,FGF18_FGFR1
FGF18,FGFR2,FGF18_FGFR2
FGF18,FGFR4,FGF18_FGFR4
FGF18,FGFR3,FGF18_FGFR3
SLIT2,APP,SLIT2_APP
SLIT2,SDC1,SLIT2_SDC1
SLIT2,GPC1,SLIT2_GPC1
SLIT2,DCC,SLIT2_DCC
SLIT2,ROBO4,SLIT2_ROBO4
SLIT2,ROBO2,SLIT2_ROBO2
SLIT2,ROBO1,SLIT2_ROBO1
LRIG2,EGFR,LRIG2_EGFR
DKK1,LRP4,DKK1_LRP4
DKK1,LRP5,DKK1_LRP5
DKK1,LRP6,DKK1_LRP6
DKK1,KREMEN2,DKK1_KREMEN2
DKK1,KREMEN1,DKK1_KREMEN1
SEMA3D,NRP1&PLXNA2,SEMA3D_NRP1&PLXNA2
SEMA3D,NRP1&PLXNA3,SEMA3D_NRP1&PLXNA3
SEMA3D,NRP1&PLXNA4,SEMA3D_NRP1&PLXNA4
SEMA3D,NRP1&PLXNA1,SEMA3D_NRP1&PLXNA1
SEMA3D,NRP2&PLXNA2,SEMA3D_NRP2&PLXNA2
SEMA3D,NRP2&PLXNA3,SEMA3D_NRP2&PLXNA3
SEMA3D,NRP2&PLXNA4,SEMA3D_NRP2&PLXNA4
SEMA3D,NRP2&PLXNA1,SEMA3D_NRP2&PLXNA1
SEMA3D,PLXND1,SEMA3D_PLXND1
NXPH2,NRXN1,NXPH2_NRXN1
NXPH3,NRXN1,NXPH3_NRXN1
NXPH3,NRXN3,NXPH3_NRXN3
NXPH3,NRXN2,NXPH3_NRXN2
CCN4,ITGB1,CCN4_ITGB1
CCN4,ITGA5,CCN4_ITGA5
GDF11,ACVR1B&ACVR2A,GDF11_ACVR1B&ACVR2A
GDF11,ACVR2A&TGFBR1,GDF11_ACVR2A&TGFBR1
GDF11,ACVR1B&ACVR2B,GDF11_ACVR1B&ACVR2B
GDF11,ACVR2B&TGFBR1,GDF11_ACVR2B&TGFBR1
GDF11,BMPR1B,GDF11_BMPR1B
GDF11,BMPR1A,GDF11_BMPR1A
GDF11,BMPR2,GDF11_BMPR2
GDF11,ANTXR1,GDF11_ANTXR1
BMP10,ACVR2A&ACVRL1,BMP10_ACVR2A&ACVRL1
BMP10,ACVR2B&ACVRL1,BMP10_ACVR2B&ACVRL1
BMP10,ACVRL1&BMPR2,BMP10_ACVRL1&BMPR2
BMP10,BMPR1B,BMP10_BMPR1B
BMP10,FFAR2,BMP10_FFAR2
BMP10,BMPR1A,BMP10_BMPR1A
BMP10,KIR2DL3,BMP10_KIR2DL3
BMP10,KIR3DL1,BMP10_KIR3DL1
BMP10,KIR3DS1,BMP10_KIR3DS1
BMP10,GPR152,BMP10_GPR152
BMP10,VSIR,BMP10_VSIR
UTS2,UTS2R,UTS2_UTS2R
NTN1,UNC5C,NTN1_UNC5C
NTN1,ADORA2B,NTN1_ADORA2B
NTN1,MCAM,NTN1_MCAM
NTN1,DCC,NTN1_DCC
NTN1,UNC5D,NTN1_UNC5D
NTN1,UNC5A,NTN1_UNC5A
NTN1,UNC5B,NTN1_UNC5B
NTN1,NEO1,NTN1_NEO1
CXCL14,CXCR4,CXCL14_CXCR4
FGF19,FGFR1,FGF19_FGFR1
FGF19,FGFR2,FGF19_FGFR2
FGF19,FGFR4,FGF19_FGFR4
FGF19,FGFR3,FGF19_FGFR3
FGF19,KLB,FGF19_KLB
IL33,IL1RAP&IL1RL1,IL33_IL1RAP&IL1RL1
CER1,MRC2,CER1_MRC2
ANGPTL1,LILRB3,ANGPTL1_LILRB3
ANGPTL1,TEK,ANGPTL1_TEK
OLFM2,ROBO2,OLFM2_ROBO2
LGI1,ADAM23,LGI1_ADAM23
LGI1,RTN4R,LGI1_RTN4R
BMP15,BMPR1B&BMPR2,BMP15_BMPR1B&BMPR2
BMP15,ACVR2A,BMP15_ACVR2A
BMP15,BMPR1A,BMP15_BMPR1A
WNT11,FZD9,WNT11_FZD9
WNT11,MUSK,WNT11_MUSK
WNT11,FZD6,WNT11_FZD6
WNT11,FZD7,WNT11_FZD7
WNT11,FZD5,WNT11_FZD5
WNT11,FZD2,WNT11_FZD2
WNT11,FZD8,WNT11_FZD8
WNT11,FZD3,WNT11_FZD3
WNT11,FZD4,WNT11_FZD4
WNT11,FZD10,WNT11_FZD10
HP,TLR4,HP_TLR4
HP,ITGB2,HP_ITGB2
HP,ASGR1,HP_ASGR1
HP,ASGR2,HP_ASGR2
HP,ITGAM,HP_ITGAM
HP,CD22,HP_CD22
HP,CD163,HP_CD163
PLG,F2RL2,PLG_F2RL2
PLG,ITGB2,PLG_ITGB2
PLG,ITGB1,PLG_ITGB1
PLG,ITGAM,PLG_ITGAM
PLG,IGF2R,PLG_IGF2R
PLG,F3,PLG_F3
PLG,FLT1,PLG_FLT1
PLG,F2R,PLG_F2R
PLG,F2RL1,PLG_F2RL1
PLG,PLAUR,PLG_PLAUR
PLG,ITGA9,PLG_ITGA9
PLG,PARD3,PLG_PARD3
PLG,F2RL3,PLG_F2RL3
AGT,MAS1,AGT_MAS1
AGT,ADRA2A,AGT_ADRA2A
AGT,AGTR1,AGT_AGTR1
AGT,MTNR1A,AGT_MTNR1A
AGT,AGTR2,AGT_AGTR2
AGT,LRP2,AGT_LRP2
AGT,GRM7,AGT_GRM7
KNG1,ITGB2,KNG1_ITGB2
KNG1,GP1BA,KNG1_GP1BA
KNG1,ADRA2A,KNG1_ADRA2A
KNG1,ITGAM,KNG1_ITGAM
KNG1,BDKRB2,KNG1_BDKRB2
KNG1,SDC2,KNG1_SDC2
KNG1,BDKRB1,KNG1_BDKRB1
KNG1,MTNR1A,KNG1_MTNR1A
KNG1,PLAUR,KNG1_PLAUR
KNG1,GRM7,KNG1_GRM7
KNG1,GPR135,KNG1_GPR135
KNG1,RXFP4,KNG1_RXFP4
KNG1,CD93,KNG1_CD93
PDGFB,PDGFRA&PDGFRB,PDGFB_PDGFRA&PDGFRB
PDGFB,ITGAV,PDGFB_ITGAV
PDGFB,S1PR1,PDGFB_S1PR1
PDGFB,LRP1,PDGFB_LRP1
PDGFB,ADGRV1,PDGFB_ADGRV1
EGF,EGFR&ERBB2,EGF_EGFR&ERBB2
EGF,NRP1,EGF_NRP1
EGF,LDLR,EGF_LDLR
EGF,ADRB2,EGF_ADRB2
EGF,ERBB3,EGF_ERBB3
EGF,FSHR,EGF_FSHR
EGF,AXL,EGF_AXL
EGF,LRP2,EGF_LRP2
EGF,ERBB4,EGF_ERBB4
TGFB1,ITGAV&ITGB6,TGFB1_ITGAV&ITGB6
TGFB1,ACVR1B&TGFBR2,TGFB1_ACVR1B&TGFBR2
TGFB1,TGFBR1&TGFBR2,TGFB1_TGFBR1&TGFBR2
TGFB1,ACVR1&TGFBR1&TGFBR2,TGFB1_ACVR1&TGFBR1&TGFBR2
TGFB1,ACVR1&TGFBR2,TGFB1_ACVR1&TGFBR2
TGFB1,ACVR1C&TGFBR2,TGFB1_ACVR1C&TGFBR2
TGFB1,EGFR,TGFB1_EGFR
TGFB1,ITGB3,TGFB1_ITGB3
TGFB1,ITGB1,TGFB1_ITGB1
TGFB1,ITGB5,TGFB1_ITGB5
TGFB1,ITGB8,TGFB1_ITGB8
TGFB1,SDC2,TGFB1_SDC2
TGFB1,ACVRL1,TGFB1_ACVRL1
TGFB1,CXCR4,TGFB1_CXCR4
TGFB1,TGFBR3,TGFB1_TGFBR3
TGFB1,VASN,TGFB1_VASN
NGF,NTRK1,NGF_NTRK1
NGF,NGFR,NGF_NGFR
NGF,SORCS2,NGF_SORCS2
NPPA,NPR1,NPPA_NPR1
NPPA,NPR3,NPPA_NPR3
NPPA,NPR2,NPPA_NPR2
OXT,AVPR2,OXT_AVPR2
OXT,OXTR,OXT_OXTR
OXT,AVPR1A,OXT_AVPR1A
OXT,AVPR1B,OXT_AVPR1B
AVP,RAMP2,AVP_RAMP2
AVP,RAMP3,AVP_RAMP3
AVP,LDLR,AVP_LDLR
AVP,ADRB2,AVP_ADRB2
AVP,ADRB3,AVP_ADRB3
AVP,TSHR,AVP_TSHR
AVP,AVPR2,AVP_AVPR2
AVP,OXTR,AVP_OXTR
AVP,VIPR1,AVP_VIPR1
AVP,AVPR1A,AVP_AVPR1A
AVP,ADCYAP1R1,AVP_ADCYAP1R1
AVP,AVPR1B,AVP_AVPR1B
AVP,LRP2,AVP_LRP2
AVP,PTH1R,AVP_PTH1R
AVP,GPR20,AVP_GPR20
AVP,GPR84,AVP_GPR84
POMC,RAMP2,POMC_RAMP2
POMC,RAMP3,POMC_RAMP3
POMC,ADRB2,POMC_ADRB2
POMC,ADRA2A,POMC_ADRA2A
POMC,ADRB3,POMC_ADRB3
POMC,TSHR,POMC_TSHR
POMC,VIPR1,POMC_VIPR1
POMC,MC4R,POMC_MC4R
POMC,MC5R,POMC_MC5R
POMC,OPRM1,POMC_OPRM1
POMC,OPRK1,POMC_OPRK1
POMC,OPRL1,POMC_OPRL1
POMC,ADCYAP1R1,POMC_ADCYAP1R1
POMC,MC3R,POMC_MC3R
POMC,MTNR1A,POMC_MTNR1A
POMC,MC2R,POMC_MC2R
POMC,MC1R,POMC_MC1R
POMC,PTH1R,POMC_PTH1R
POMC,GRM7,POMC_GRM7
POMC,GPR20,POMC_GPR20
POMC,GPR84,POMC_GPR84
PENK,ADRA2A,PENK_ADRA2A
PENK,OPRM1,PENK_OPRM1
PENK,OPRK1,PENK_OPRK1
PENK,OPRL1,PENK_OPRL1
PENK,MTNR1A,PENK_MTNR1A
PENK,GRM7,PENK_GRM7
PENK,MRGPRX1,PENK_MRGPRX1
PENK,OGFR,PENK_OGFR
PDYN,ADRA2A,PDYN_ADRA2A
PDYN,OPRM1,PDYN_OPRM1
PDYN,OPRK1,PDYN_OPRK1
PDYN,OPRL1,PDYN_OPRL1
PDYN,MTNR1A,PDYN_MTNR1A
PDYN,GRM7,PDYN_GRM7
CGA,RAMP2,CGA_RAMP2
CGA,RAMP3,CGA_RAMP3
CGA,ADRB2,CGA_ADRB2
CGA,ADRB3,CGA_ADRB3
CGA,TSHR,CGA_TSHR
CGA,LHCGR,CGA_LHCGR
CGA,FSHR,CGA_FSHR
CGA,VIPR1,CGA_VIPR1
CGA,ADCYAP1R1,CGA_ADCYAP1R1
CGA,PTH1R,CGA_PTH1R
CGA,GPR20,CGA_GPR20
CGA,GPR84,CGA_GPR84
TSHB,RAMP2,TSHB_RAMP2
TSHB,RAMP3,TSHB_RAMP3
TSHB,ADRB2,TSHB_ADRB2
TSHB,ADRB3,TSHB_ADRB3
TSHB,TSHR,TSHB_TSHR
TSHB,VIPR1,TSHB_VIPR1
TSHB,ADCYAP1R1,TSHB_ADCYAP1R1
TSHB,PTH1R,TSHB_PTH1R
TSHB,GPR20,TSHB_GPR20
TSHB,GPR84,TSHB_GPR84
FSHB,RAMP2,FSHB_RAMP2
FSHB,RAMP3,FSHB_RAMP3
FSHB,ADRB2,FSHB_ADRB2
FSHB,ADRB3,FSHB_ADRB3
FSHB,TSHR,FSHB_TSHR
FSHB,FSHR,FSHB_FSHR
FSHB,VIPR1,FSHB_VIPR1
FSHB,ADCYAP1R1,FSHB_ADCYAP1R1
FSHB,PTH1R,FSHB_PTH1R
FSHB,GPR20,FSHB_GPR20
FSHB,GPR84,FSHB_GPR84
LHB,RAMP2,LHB_RAMP2
LHB,RAMP3,LHB_RAMP3
LHB,ADRB2,LHB_ADRB2
LHB,ADRB3,LHB_ADRB3
LHB,TSHR,LHB_TSHR
LHB,LHCGR,LHB_LHCGR
LHB,VIPR1,LHB_VIPR1
LHB,ADCYAP1R1,LHB_ADCYAP1R1
LHB,PTH1R,LHB_PTH1R
LHB,GPR20,LHB_GPR20
LHB,GPR84,LHB_GPR84
PRL,PRLR,PRL_PRLR
GH1,GHR,GH1_GHR
GH1,PRLR,GH1_PRLR
GH2,GHR,GH2_GHR
CALCA,ADRB2,CALCA_ADRB2
CALCA,ADRB3,CALCA_ADRB3
CALCA,TSHR,CALCA_TSHR
CALCA,VIPR1,CALCA_VIPR1
CALCA,ADCYAP1R1,CALCA_ADCYAP1R1
CALCA,PTH1R,CALCA_PTH1R
CALCA,GPR20,CALCA_GPR20
CALCA,GPR84,CALCA_GPR84
TG,TPO,TG_TPO
TG,ASGR1,TG_ASGR1
TG,LRP2,TG_LRP2
PTH,RAMP2,PTH_RAMP2
PTH,RAMP3,PTH_RAMP3
PTH,LRP6,PTH_LRP6
PTH,ADRB2,PTH_ADRB2
PTH,ADRB3,PTH_ADRB3
PTH,TSHR,PTH_TSHR
PTH,VIPR1,PTH_VIPR1
PTH,ADCYAP1R1,PTH_ADCYAP1R1
PTH,PTH2R,PTH_PTH2R
PTH,PTH1R,PTH_PTH1R
PTH,GPR20,PTH_GPR20
PTH,GPR84,PTH_GPR84
GCG,RAMP2,GCG_RAMP2
GCG,RAMP3,GCG_RAMP3
GCG,GLP2R,GCG_GLP2R
GCG,ADRB2,GCG_ADRB2
GCG,ADRB3,GCG_ADRB3
GCG,TSHR,GCG_TSHR
GCG,VIPR1,GCG_VIPR1
GCG,ADCYAP1R1,GCG_ADCYAP1R1
GCG,GLP1R,GCG_GLP1R
GCG,GCGR,GCG_GCGR
GCG,GIPR,GCG_GIPR
GCG,PTH1R,GCG_PTH1R
GCG,GPR20,GCG_GPR20
GCG,GPR84,GCG_GPR84
VIP,RAMP1,VIP_RAMP1
VIP,RAMP2,VIP_RAMP2
VIP,RAMP3,VIP_RAMP3
VIP,ADRB2,VIP_ADRB2
VIP,ADRB3,VIP_ADRB3
VIP,TSHR,VIP_TSHR
VIP,NPR3,VIP_NPR3
VIP,VIPR1,VIP_VIPR1
VIP,AVPR1A,VIP_AVPR1A
VIP,ADCYAP1R1,VIP_ADCYAP1R1
VIP,VIPR2,VIP_VIPR2
VIP,SCTR,VIP_SCTR
VIP,PTH1R,VIP_PTH1R
VIP,GPR20,VIP_GPR20
VIP,GPR84,VIP_GPR84
GHRH,RAMP2,GHRH_RAMP2
GHRH,RAMP3,GHRH_RAMP3
GHRH,ADRB2,GHRH_ADRB2
GHRH,ADRB3,GHRH_ADRB3
GHRH,TSHR,GHRH_TSHR
GHRH,VIPR1,GHRH_VIPR1
GHRH,ADCYAP1R1,GHRH_ADCYAP1R1
GHRH,VIPR2,GHRH_VIPR2
GHRH,GHRHR,GHRH_GHRHR
GHRH,PTH1R,GHRH_PTH1R
GHRH,GHSR,GHRH_GHSR
GHRH,GPR20,GHRH_GPR20
GHRH,GPR84,GHRH_GPR84
PPY,ADRA2A,PPY_ADRA2A
PPY,NPY1R,PPY_NPY1R
PPY,MTNR1A,PPY_MTNR1A
PPY,NPY2R,PPY_NPY2R
PPY,NPY4R,PPY_NPY4R
PPY,GRM7,PPY_GRM7
PPY,NPY5R,PPY_NPY5R
PPY,NPY6R,PPY_NPY6R
PPY,GPR83,PPY_GPR83
NPY,ADRA2A,NPY_ADRA2A
NPY,NPY1R,NPY_NPY1R
NPY,MC4R,NPY_MC4R
NPY,MTNR1A,NPY_MTNR1A
NPY,NPY2R,NPY_NPY2R
NPY,PRLHR,NPY_PRLHR
NPY,NPY4R,NPY_NPY4R
NPY,GRM7,NPY_GRM7
NPY,NPY5R,NPY_NPY5R
NPY,NPY6R,NPY_NPY6R
NPY,GPR83,NPY_GPR83
NPY,NPFFR2,NPY_NPFFR2
INS,INSR,INS_INSR
INS,IGF1R,INS_IGF1R
INS,LRP2,INS_LRP2
INS,LILRB2,INS_LILRB2
INS,LILRB1,INS_LILRB1
IGF2,ITGAV&ITGB3,IGF2_ITGAV&ITGB3
IGF2,ITGA6&ITGB4,IGF2_ITGA6&ITGB4
IGF2,INSR,IGF2_INSR
IGF2,IGF1R,IGF2_IGF1R
IGF2,IGF2R,IGF2_IGF2R
IGF2,GPR152,IGF2_GPR152
GAST,CCKBR,GAST_CCKBR
GAST,KIR2DL3,GAST_KIR2DL3
GAST,GPR152,GAST_GPR152
LTA,TNFRSF1A,LTA_TNFRSF1A
LTA,TNFRSF1B,LTA_TNFRSF1B
LTA,TNFRSF14,LTA_TNFRSF14
IFNA1,IFNAR1&IFNAR2,IFNA1_IFNAR1&IFNAR2
IFNA1,CR2,IFNA1_CR2
IFNA2,IFNAR1&IFNAR2,IFNA2_IFNAR1&IFNAR2
IFNA10,IFNAR1&IFNAR2,IFNA10_IFNAR1&IFNAR2
IFNA7,IFNAR1&IFNAR2,IFNA7_IFNAR1&IFNAR2
IFNA21,IFNAR1&IFNAR2,IFNA21_IFNAR1&IFNAR2
IFNA5,IFNAR1&IFNAR2,IFNA5_IFNAR1&IFNAR2
IFNA14,IFNAR1&IFNAR2,IFNA14_IFNAR1&IFNAR2
IFNA17,IFNAR1&IFNAR2,IFNA17_IFNAR1&IFNAR2
IFNB1,IFNAR1&IFNAR2,IFNB1_IFNAR1&IFNAR2
IFNG,IFNGR1&IFNGR2,IFNG_IFNGR1&IFNGR2
IL1A,IL1R1&IL1RAP,IL1A_IL1R1&IL1RAP
IL1A,IL1R2&IL1RAP,IL1A_IL1R2&IL1RAP
IL1B,IL1R1&IL1RAP,IL1B_IL1R1&IL1RAP
IL1B,IL1R2&IL1RAP,IL1B_IL1R2&IL1RAP
IL1B,ADRB2,IL1B_ADRB2
IL1B,SIGIRR,IL1B_SIGIRR
EPO,EPOR,EPO_EPOR
EPO,EPHB4,EPO_EPHB4
APOA1,LDLR,APOA1_LDLR
APOA1,LRP2,APOA1_LRP2
APOA1,LRP1,APOA1_LRP1
APOE,LRP4,APOE_LRP4
APOE,LRP5,APOE_LRP5
APOE,LRP6,APOE_LRP6
APOE,LDLR,APOE_LDLR
APOE,SDC2,APOE_SDC2
APOE,VLDLR,APOE_VLDLR
APOE,LRP2,APOE_LRP2
APOE,LRP1,APOE_LRP1
APOE,LRP8,APOE_LRP8
APOE,LSR,APOE_LSR
APOE,SCARB1,APOE_SCARB1
APOE,TREM2,APOE_TREM2
APOA2,LDLR,APOA2_LDLR
APOA2,LRP2,APOA2_LRP2
APOA2,LRP1,APOA2_LRP1
APOC2,LDLR,APOC2_LDLR
APOC2,LRP2,APOC2_LRP2
APOC2,LRP1,APOC2_LRP1
APOC3,TLR2,APOC3_TLR2
APOC3,LDLR,APOC3_LDLR
APOC3,SDC2,APOC3_SDC2
APOC3,LRP2,APOC3_LRP2
APOC3,LRP1,APOC3_LRP1
ORM1,CCR5,ORM1_CCR5
TTR,NGFR,TTR_NGFR
GC,LRP2,GC_LRP2
PPBP,ADRA2A,PPBP_ADRA2A
PPBP,CXCR1,PPBP_CXCR1
PPBP,CXCR2,PPBP_CXCR2
PPBP,MTNR1A,PPBP_MTNR1A
PPBP,GRM7,PPBP_GRM7
PPBP,ACKR1,PPBP_ACKR1
PF4,LDLR,PF4_LDLR
PF4,THBD,PF4_THBD
PF4,ADRA2A,PF4_ADRA2A
PF4,FGFR2,PF4_FGFR2
PF4,SDC2,PF4_SDC2
PF4,MTNR1A,PF4_MTNR1A
PF4,CXCR3,PF4_CXCR3
PF4,LRP1,PF4_LRP1
PF4,GRM7,PF4_GRM7
PF4,ACKR1,PF4_ACKR1
PF4,PROCR,PF4_PROCR
CXCL10,ADRA2A,CXCL10_ADRA2A
CXCL10,MTNR1A,CXCL10_MTNR1A
CXCL10,CXCR3,CXCL10_CXCR3
CXCL10,CCR3,CXCL10_CCR3
CXCL10,GRM7,CXCL10_GRM7
CXCL10,ACKR1,CXCL10_ACKR1
TF,LDLR,TF_LDLR
TF,TFRC,TF_TFRC
TF,ADRB2,TF_ADRB2
TF,LRP2,TF_LRP2
TF,TFR2,TF_TFR2
HPX,LRP1,HPX_LRP1
ANG,PLXNB2,ANG_PLXNB2
ANG,EGFR,ANG_EGFR
AMH,AMHR2&BMPR1B,AMH_AMHR2&BMPR1B
AMH,AMHR2&BMPR1A,AMH_AMHR2&BMPR1A
AMH,ACVR1&AMHR2,AMH_ACVR1&AMHR2
AMH,EGFR,AMH_EGFR
PDGFA,PDGFRB,PDGFA_PDGFRB
PDGFA,PDGFRA,PDGFA_PDGFRA
RLN2,RAMP2,RLN2_RAMP2
RLN2,RAMP3,RLN2_RAMP3
RLN2,ADRB2,RLN2_ADRB2
RLN2,ADRB3,RLN2_ADRB3
RLN2,TSHR,RLN2_TSHR
RLN2,VIPR1,RLN2_VIPR1
RLN2,ADCYAP1R1,RLN2_ADCYAP1R1
RLN2,PTH1R,RLN2_PTH1R
RLN2,RXFP2,RLN2_RXFP2
RLN2,GPR20,RLN2_GPR20
RLN2,RXFP1,RLN2_RXFP1
RLN2,GPR84,RLN2_GPR84
RLN2,RXFP3,RLN2_RXFP3
APOB,TLR4,APOB_TLR4
APOB,LRP6,APOB_LRP6
APOB,LDLR,APOB_LDLR
APOB,ITGB2,APOB_ITGB2
APOB,ADRB2,APOB_ADRB2
APOB,ITGAM,APOB_ITGAM
APOB,OLR1,APOB_OLR1
APOB,VLDLR,APOB_VLDLR
APOB,LRP2,APOB_LRP2
APOB,LRP1,APOB_LRP1
APOB,LRP8,APOB_LRP8
APOB,LSR,APOB_LSR
APOB,TLR6,APOB_TLR6
CSF2,CSF2RA&CSF2RB,CSF2_CSF2RA&CSF2RB
CSF2,ITGB1,CSF2_ITGB1
CSF2,CSF1R,CSF2_CSF1R
CSF2,IL3RA,CSF2_IL3RA
CSF2,SDC2,CSF2_SDC2
CSF2,ITGA9,CSF2_ITGA9
CSF2,CSF3R,CSF2_CSF3R
TFF1,FCRL4,TFF1_FCRL4
WNT1,FZD9&LRP5,WNT1_FZD9&LRP5
WNT1,FZD9&LRP6,WNT1_FZD9&LRP6
WNT1,FZD6&LRP5,WNT1_FZD6&LRP5
WNT1,FZD6&LRP6,WNT1_FZD6&LRP6
WNT1,FZD7&LRP5,WNT1_FZD7&LRP5
WNT1,FZD7&LRP6,WNT1_FZD7&LRP6
WNT1,FZD5&LRP5,WNT1_FZD5&LRP5
WNT1,FZD2&LRP5,WNT1_FZD2&LRP5
WNT1,FZD8&LRP5,WNT1_FZD8&LRP5
WNT1,FZD3&LRP5,WNT1_FZD3&LRP5
WNT1,FZD4&LRP5,WNT1_FZD4&LRP5
WNT1,FZD10&LRP5,WNT1_FZD10&LRP5
WNT1,FZD1&LRP5,WNT1_FZD1&LRP5
WNT1,FZD5&LRP6,WNT1_FZD5&LRP6
WNT1,FZD2&LRP6,WNT1_FZD2&LRP6
WNT1,FZD8&LRP6,WNT1_FZD8&LRP6
WNT1,FZD3&LRP6,WNT1_FZD3&LRP6
WNT1,FZD4&LRP6,WNT1_FZD4&LRP6
WNT1,FZD10&LRP6,WNT1_FZD10&LRP6
WNT1,FZD1&LRP6,WNT1_FZD1&LRP6
WNT1,CD36,WNT1_CD36
WNT1,RYK,WNT1_RYK
WNT1,ROR2,WNT1_ROR2
RLN1,RXFP4,RLN1_RXFP4
RLN1,RXFP2,RLN1_RXFP2
RLN1,RXFP1,RLN1_RXFP1
RLN1,RXFP3,RLN1_RXFP3
IFNW1,IFNAR1&IFNAR2,IFNW1_IFNAR1&IFNAR2
IFNA6,IFNAR1&IFNAR2,IFNA6_IFNAR1&IFNAR2
IFNA4,IFNAR1&IFNAR2,IFNA4_IFNAR1&IFNAR2
IFNA16,IFNAR1&IFNAR2,IFNA16_IFNAR1&IFNAR2
IGF1,ITGAV&ITGB3,IGF1_ITGAV&ITGB3
IGF1,ITGA6&ITGB4,IGF1_ITGA6&ITGB4
IGF1,INSR,IGF1_INSR
IGF1,IGF1R,IGF1_IGF1R
IGF1,IGF2R,IGF1_IGF2R
APOD,LEPR,APOD_LEPR
S100A8,TLR4,S100A8_TLR4
S100A8,ITGB2,S100A8_ITGB2
S100A8,CD36,S100A8_CD36
S100A8,CD68,S100A8_CD68
S100A8,AGER,S100A8_AGER
INHA,TGFBR3,INHA_TGFBR3
INHA,ACVR1,INHA_ACVR1
IL4,IL2RG&IL4R,IL4_IL2RG&IL4R
IL4,IL13&IL13RA1&IL4R,IL4_IL13&IL13RA1&IL4R
IL4,IL13RA1&IL4R,IL4_IL13RA1&IL4R
IL4,IL13RA2&IL4R,IL4_IL13RA2&IL4R
IL4,CD53,IL4_CD53
IL5,CSF2RB&IL5RA,IL5_CSF2RB&IL5RA
FGF1,NRP1,FGF1_NRP1
FGF1,EGFR,FGF1_EGFR
FGF1,FGFR1,FGF1_FGFR1
FGF1,CD44,FGF1_CD44
FGF1,FGFR2,FGF1_FGFR2
FGF1,FGFR4,FGF1_FGFR4
FGF1,FGFR3,FGF1_FGFR3
FGF1,TGFBR3,FGF1_TGFBR3
FGF1,CSPG4,FGF1_CSPG4
FGF1,FGFRL1,FGF1_FGFRL1
IL6,IL6R&IL6ST,IL6_IL6R&IL6ST
IL6,F3,IL6_F3
IL6,HRH1,IL6_HRH1
EDN1,EDNRB,EDN1_EDNRB
EDN1,EDNRA,EDN1_EDNRA
EDN1,ADGRL4,EDN1_ADGRL4
HLA-DQB2,LAG3,HLA-DQB2_LAG3
CCK,CCKAR,CCK_CCKAR
CCK,CCKBR,CCK_CCKBR
S100A9,TLR4,S100A9_TLR4
S100A9,ITGB2,S100A9_ITGB2
S100A9,CD36,S100A9_CD36
S100A9,CD68,S100A9_CD68
S100A9,AGER,S100A9_AGER
APOA4,LDLR,APOA4_LDLR
APOA4,LRP2,APOA4_LRP2
APOA4,LRP1,APOA4_LRP1
GPI,NTRK1,GPI_NTRK1
CRH,RAMP2,CRH_RAMP2
CRH,RAMP3,CRH_RAMP3
CRH,ADRB2,CRH_ADRB2
CRH,ADRB3,CRH_ADRB3
CRH,TSHR,CRH_TSHR
CRH,VIPR1,CRH_VIPR1
CRH,CRHR1,CRH_CRHR1
